Unnamed: 0,dates,price,Dates,derivative_prices,derivative_prices_ems,derivative_prices_r2,derivative_prices_r3,derivative_prices_av,derivative_prices_garch
35,2023-09-26,95.13,2023-09-26,995.6227641450164,1001.2884712954916,997.014847574444,998.1111232315088,996.7017861251142,1013.4313601107234
36,2023-09-27,95.37,2023-09-27,988.4534478208242,994.3383607071972,991.8298994945146,991.9696140482278,993.2100832262448,1017.0239766278896
37,2023-09-28,95.45,2023-09-28,992.9838507245004,998.244222628194,995.4843290166192,992.4797002748788,993.1593795499688,1010.9124081365616
38,2023-09-29,95.63,2023-09-29,1000.5878689040662,1004.2790155049582,998.236977163262,996.9977715845494,999.690879463358,1020.9548599040988
39,2023-10-02,95.01,2023-10-02,995.502307119525,1000.7043288779684,998.0918110277236,994.5603703457466,995.9511045298034,1019.2984413817956
40,2023-10-03,93.63,2023-10-03,986.8714721980316,993.3861904031372,987.597442906306,987.0635520478488,988.3654309332386,1018.283031176955
41,2023-10-04,92.24,2023-10-04,974.5982860436078,981.0813498903826,971.7022264509948,971.1185357663431,974.6580214891484,984.8079239690844
42,2023-10-05,92.41,2023-10-05,977.3647292861422,983.9678846771332,978.2639338409454,976.3306647828769,976.9755683785144,938.6203578586304
43,2023-10-06,92.31,2023-10-06,976.9389811979656,986.1216738687026,980.2049160256732,980.6720528022952,980.5005238272904,971.4425048794028
44,2023-10-09,92.63,2023-10-09,982.0989700677476,989.3707815909632,1002.7280849907364,981.3179361653034,981.8180767415104,993.9093134216656
45,2023-10-10,94.97,2023-10-10,985.6717369086438,992.037965365296,984.1873077721408,985.498100756768,984.193961352071,1008.5279043963808
46,2023-10-11,94.8,2023-10-11,998.1789123202278,1002.7057135127724,995.4289212836696,997.0487007673848,996.3751709684252,1018.7765426370212
47,2023-10-12,94.47,2023-10-12,1001.3923954754092,1005.6631401248396,1000.1227968752592,997.6046834500202,997.3307354224098,975.5665580053372
48,2023-10-13,94.92,2023-10-13,996.4299968535928,1001.1402327688633,997.866999713632,997.5975079139486,998.1085417747532,1009.0225499952116
49,2023-10-16,94.25,2023-10-16,1000.3343264111436,1004.9169076048744,1000.9769451516984,998.7868020986374,1001.7019822587326,1004.6464743853486
50,2023-10-17,95.49,2023-10-17,1002.1858280057588,1007.9371187479856,1003.9332529052748,1003.18152368219,1002.7831335435804,1023.4882826567372
51,2023-10-18,95.75,2023-10-18,1013.9346928354788,1016.9867014669392,1010.6551588226132,1012.844497221892,1012.0926931303,1027.13244225846
52,2023-10-19,95.57,2023-10-19,1013.0939403838432,1017.4171537266948,1011.5749612603244,1011.9425877916648,1010.6043316570814,1004.9228171000092
53,2023-10-20,93.96,2023-10-20,1011.819746354426,1016.3886811834076,1008.1413150082858,1008.5417968903392,1008.5014824299458,1010.2860834066644
54,2023-10-23,93.41,2023-10-23,1001.7859283834174,1007.4043587644996,999.862981381416,1000.6795293179052,1000.540804380431,1003.3019983266448
55,2023-10-24,92.44,2023-10-24,991.9836312074189,998.4122278345252,991.566801525198,990.9674347971873,988.928260696675,979.6709933872193
56,2023-10-25,92.33,2023-10-25,990.8171707806636,997.2552770059592,988.55841035157,989.1700368556728,990.0078129787098,954.6565591978836
57,2023-10-26,93.17,2023-10-26,989.860651998418,997.7002063110205,990.6325874622572,993.653649937336,992.378818635258,981.4500075607036
58,2023-10-27,92.19,2023-10-27,1000.9159851010502,1005.2062486063402,1001.60583665349,1001.3921226016492,1000.4591763880012,1004.3851685518364
59,2023-10-30,91.6,2023-10-30,982.5067274734146,990.9761879423728,984.9547284851,983.586231002828,980.9900880817348,970.7056663460828
60,2023-10-31,93.3,2023-10-31,992.4134352158115,999.1842859888078,994.5596361632372,993.1294480153532,991.8721669878636,936.5481804396616
61,2023-11-01,94.11,2023-11-01,1004.83279810808,1008.46389688171,1004.0155554432952,1002.8623648326604,1003.0410968532024,961.1050681596668
62,2023-11-02,95.51,2023-11-02,1004.976904433735,1011.5598901316278,1002.180385948484,1005.220716937265,1005.1573373616634,963.893099068893
63,2023-11-03,97.06,2023-11-03,1017.656450111698,1021.6341248915188,1017.9248141381588,1017.6098566167276,1018.466825549868,1005.495254563159
64,2023-11-06,96.68,2023-11-06,1024.466000998177,1027.2705754587946,1023.9726370643488,1022.7816561336224,1024.555240780039,950.6869424531722
65,2023-11-07,96.85,2023-11-07,1025.8995733159034,1029.0170668347446,1023.8546620032488,1024.293741306554,1023.577256834114,958.0892682349354
66,2023-11-08,96.68,2023-11-08,1025.244334655668,1028.2261192311137,1023.5179933082096,1023.8195067555288,1021.9483218796938,997.2610640873904
