dates,price,Dates,derivative_prices,derivative_prices_ems,derivative_prices_r2,derivative_prices_r3,derivative_prices_av,derivative_prices_sep,derivative_prices_call
2023-09-26,95.13,2023-09-26,994.2162619524679,997.5331191300749,996.0424435271325,994.9064226224752,995.4585368747562,989.4978719898799,994.2162619524679
2023-09-27,95.37,2023-09-27,988.5347210658026,994.3161663682506,988.7617125160157,986.7974886431083,988.4894018270703,980.4224828712329,988.5347210658026
2023-09-28,95.45,2023-09-28,993.3276166361793,997.4061365125913,990.9217725000339,988.1217847286565,992.2286130961675,981.3273663433797,993.3276166361793
2023-09-29,95.63,2023-09-29,997.7252833345954,1001.7137209068926,995.2735116879255,996.5201947646838,997.8127307012605,987.4837412979027,997.7252833345954
2023-10-02,95.01,2023-10-02,992.0543241930665,995.5577319231538,995.0464863300965,994.3488451257051,991.5400395614927,984.9093397643039,992.0543241930665
2023-10-03,93.63,2023-10-03,982.9957872897598,987.9153191209621,981.6565209719607,981.5050272555072,982.5953207865349,970.5769601163955,982.9957872897598
2023-10-04,92.24,2023-10-04,968.5764854859412,976.4600232838688,970.863760913699,971.8386042649315,970.4435963508308,955.5143579857717,968.5764854859412
2023-10-05,92.41,2023-10-05,971.609423521817,978.145351495493,969.3166850381042,970.4415901514617,970.0991957103433,959.612075018681,971.609423521817
2023-10-06,92.31,2023-10-06,975.9051544269076,981.6001997466285,974.1613321627401,974.2977967107632,972.6527650595048,961.1010375267772,975.9051544269076
2023-10-09,92.63,2023-10-09,975.17405102927,980.3871044721803,995.5263074904988,973.9339380932463,973.0079619263137,961.7277377943246,975.17405102927
2023-10-10,94.97,2023-10-10,977.5536685498366,983.9063004566805,976.956170643212,978.1111450863078,978.4161942167723,968.765051218864,977.5536685498366
2023-10-11,94.8,2023-10-11,990.8429114826789,995.1805288029151,988.2275193446657,989.4897504932964,987.792427093093,980.5729741330249,990.8429114826789
2023-10-12,94.47,2023-10-12,991.0044594898347,995.7508526757305,989.2333437126505,988.3551714367755,990.4101015567878,980.6170205532997,991.0044594898347
2023-10-13,94.92,2023-10-13,990.1864180786874,994.2799519068294,989.5835775646837,985.2765582817609,990.7241449197908,979.0807118937366,990.1864180786874
2023-10-16,94.25,2023-10-16,985.8067420560625,991.8282755159656,985.1361635763595,985.6003747575116,984.7108657877333,977.7600218871397,985.8067420560625
2023-10-17,95.49,2023-10-17,989.8938735079272,995.6544762191418,992.337824669184,989.4487147458151,988.4144679906173,981.9368372343657,989.8938735079272
2023-10-18,95.75,2023-10-18,999.9729502284836,1004.0921795359981,999.8841983325045,998.6785348370521,998.5236856433688,988.49196404985,999.9729502284836
2023-10-19,95.57,2023-10-19,994.8336600498028,999.4414870803394,993.8786172609279,996.2054922079232,992.511392540172,986.6592313545617,994.8336600498028
2023-10-20,93.96,2023-10-20,994.1084584851025,1000.2589705780892,989.9708132771925,990.4945682030134,989.5368683475789,982.9655878554925,994.1084584851025
2023-10-23,93.41,2023-10-23,981.1615126170934,988.5117337404546,980.0843090203666,981.5195957345353,979.9972692941185,971.7293665097535,981.1615126170934
